,system,target,server,fastbest,sparse,extreme,check_labels,check,replication,time_compress,size_compress
79,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,0,1,sha256,3,9,1338.234,264672876
80,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,1,0,crc32,0,0,267.618,321261912
81,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,1,0,crc32,0,1,275.053,321261912
82,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,1,0,crc32,0,2,274.52,321261912
83,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,1,0,crc32,0,3,275.807,321261912
84,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,1,0,crc32,0,4,278.345,321261912
85,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,1,0,crc32,0,5,276.634,321261912
86,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,1,0,crc32,0,6,275.67,321261912
87,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,1,0,crc32,0,7,274.814,321261912
88,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,1,0,crc32,0,8,273.879,321261912
89,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,1,0,crc32,0,9,269.515,321261912
90,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,1,0,crc64,1,0,284.023,321261916
91,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,1,0,crc64,1,1,277.982,321261916
92,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,1,0,crc64,1,2,279.552,321261916
93,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,1,0,crc64,1,3,277.091,321261916
94,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,1,0,crc64,1,4,273.03,321261916
95,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,1,0,crc64,1,5,278.184,321261916
96,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,1,0,crc64,1,6,272.525,321261916
97,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,1,0,crc64,1,7,277.242,321261916
98,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,1,0,crc64,1,8,277.561,321261916
99,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,1,0,crc64,1,9,271.525,321261916
100,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,1,0,none,2,0,274.705,321261908
101,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,1,0,none,2,1,274.057,321261908
102,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,1,0,none,2,2,272.361,321261908
103,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,1,0,none,2,3,272.461,321261908
104,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,1,0,none,2,4,273.513,321261908
105,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,1,0,none,2,5,273.209,321261908
106,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,1,0,none,2,6,273.512,321261908
107,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,1,0,none,2,7,277.748,321261908
108,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,1,0,none,2,8,276.83,321261908
109,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,1,0,none,2,9,274.193,321261908
110,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,1,0,sha256,3,0,292.224,321261940
111,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,1,0,sha256,3,1,296.465,321261940
112,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,1,0,sha256,3,2,291.468,321261940
113,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,1,0,sha256,3,3,296.131,321261940
114,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,1,0,sha256,3,4,295.543,321261940
115,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,1,0,sha256,3,5,295.848,321261940
116,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,1,0,sha256,3,6,295.712,321261940
117,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,1,0,sha256,3,7,296.741,321261940
118,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,1,0,sha256,3,8,294.506,321261940
119,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,1,0,sha256,3,9,289.986,321261940
120,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,1,1,crc32,0,0,1329.744,264672848
121,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,1,1,crc32,0,1,1396.289,264672848
122,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,1,1,crc32,0,2,1335.368,264672848
123,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,1,1,crc32,0,3,1329.595,264672848
