,system,target,server,fastbest,verify,lax,replay_gain,lpc_optimization,replication,time_compress,size_compress
71,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,0,1,1,1,1,152.389,636308990
72,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,0,1,1,1,2,152.533,636308990
73,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,0,1,1,1,3,152.115,636308990
74,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,0,1,1,1,4,153.014,636308990
75,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,0,1,1,1,5,152.407,636308990
76,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,0,1,1,1,6,152.041,636308990
77,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,0,1,1,1,7,223.29,636308990
78,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,0,1,1,1,8,152.71,636308990
79,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,0,1,1,1,9,154.399,636308990
80,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,1,0,0,0,0,109.588,636308800
81,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,1,0,0,0,1,108.559,636308800
82,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,1,0,0,0,2,108.57,636308800
83,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,1,0,0,0,3,131.374,636308800
84,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,1,0,0,0,4,111.249,636308800
85,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,1,0,0,0,5,108.598,636308800
86,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,1,0,0,0,6,108.727,636308800
87,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,1,0,0,0,7,108.811,636308800
88,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,1,0,0,0,8,110.375,636308800
89,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,1,0,0,0,9,109.386,636308800
90,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,1,0,0,1,0,113.523,636308800
91,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,1,0,0,1,1,114.776,636308800
92,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,1,0,0,1,2,114.459,636308800
93,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,1,0,0,1,3,113.885,636308800
94,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,1,0,0,1,4,114.631,636308800
95,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,1,0,0,1,5,112.744,636308800
96,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,1,0,0,1,6,115.086,636308800
97,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,1,0,0,1,7,114.378,636308800
98,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,1,0,0,1,8,114.404,636308800
99,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,1,0,0,1,9,114.951,636308800
100,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,1,0,1,0,0,184.161,636308990
101,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,1,0,1,0,1,179.925,636308990
102,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,1,0,1,0,2,182.874,636308990
103,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,1,0,1,0,3,230.35,636308990
104,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,1,0,1,0,4,180.879,636308990
105,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,1,0,1,0,5,181.45,636308990
106,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,1,0,1,0,6,180.854,636308990
107,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,1,0,1,0,7,180.722,636308990
108,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,1,0,1,0,8,180.035,636308990
109,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,1,0,1,0,9,216.539,636308990
110,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,1,0,1,1,0,186.076,636308990
111,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,1,0,1,1,1,187.436,636308990
112,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,1,0,1,1,2,189.91,636308990
113,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,1,0,1,1,3,188.131,636308990
114,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,1,0,1,1,4,185.963,636308990
115,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,1,0,1,1,5,186.467,636308990
116,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,1,0,1,1,6,187.048,636308990
117,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,1,0,1,1,7,185.877,636308990
