,system,target,server,fastbest,rsyncable,replication,time_compress,size_compress
85,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,3,0,5,104.943,353355744
86,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,3,0,6,103.276,353355744
87,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,3,0,7,102.714,353355744
88,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,3,0,8,145.364,353355744
89,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,3,0,9,103.649,353355744
90,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,3,0,0,104.337,353355744
91,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,3,0,1,104.394,353355744
92,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,3,0,2,102.938,353355744
93,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,3,0,3,103.194,353355744
94,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,3,0,4,102.718,353355744
95,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,3,0,5,103.516,353355744
96,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,3,0,6,103.832,353355744
97,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,3,0,7,103.629,353355744
98,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,3,0,8,105.523,353355744
99,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,3,0,9,102.868,353355744
100,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,3,1,0,129.128,360402299
101,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,3,1,1,128.69299999999998,360402299
102,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,3,1,2,129.266,360402299
103,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,3,1,3,128.704,360402299
104,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,3,1,4,128.018,360402299
105,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,3,1,5,128.325,360402299
106,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,3,1,6,129.313,360402299
107,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,3,1,7,129.10299999999998,360402299
108,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,3,1,8,133.717,360402299
109,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,3,1,9,129.028,360402299
