,system,target,server,fastbest,small,replication,time_compress,size_compress
85,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,5,0,5,505.502,263222994
86,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,5,0,6,508.104,263222994
87,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,5,0,7,504.624,263222994
88,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,5,0,8,510.899,263222994
89,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,5,0,9,505.655,263222994
90,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,5,1,0,472.291,279931654
91,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,5,1,1,473.356,279931654
92,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,5,1,2,476.739,279931654
93,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,5,1,3,473.043,279931654
94,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,5,1,4,474.034,279931654
95,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,5,1,5,474.142,279931654
96,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,5,1,6,472.689,279931654
97,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,5,1,7,475.693,279931654
98,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,5,1,8,505.787,279931654
99,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,5,1,9,474.94,279931654
100,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,6,0,0,510.485,260293182
101,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,6,0,1,510.159,260293182
102,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,6,0,2,509.471,260293182
103,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,6,0,3,508.134,260293182
104,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,6,0,4,509.681,260293182
105,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,6,0,5,509.797,260293182
106,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,6,0,6,505.762,260293182
107,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,6,0,7,507.707,260293182
108,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,6,0,8,509.396,260293182
109,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,6,0,9,510.054,260293182
110,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,6,1,0,508.409,279931654
111,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,6,1,1,472.935,279931654
112,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,6,1,2,474.511,279931654
113,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,6,1,3,474.242,279931654
114,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,6,1,4,471.66,279931654
115,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,6,1,5,470.392,279931654
116,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,6,1,6,473.224,279931654
117,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,6,1,7,470.328,279931654
118,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,6,1,8,472.057,279931654
119,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,6,1,9,472.38,279931654
120,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,7,0,0,597.242,257872477
121,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,7,0,1,517.836,257872477
122,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,7,0,2,516.361,257872477
123,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,7,0,3,518.062,257872477
124,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,7,0,4,514.446,257872477
125,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,7,0,5,520.836,257872477
126,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,7,0,6,547.79,257872477
127,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,7,0,7,520.73,257872477
128,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,7,0,8,518.799,257872477
129,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,7,0,9,511.381,257872477
130,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,7,1,0,502.787,279931654
131,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,7,1,1,474.402,279931654
132,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,7,1,2,475.229,279931654
133,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,7,1,3,474.116,279931654
134,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,7,1,4,475.42800000000005,279931654
135,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,7,1,5,482.596,279931654
136,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,7,1,6,477.357,279931654
137,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,7,1,7,474.024,279931654
138,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,7,1,8,474.86300000000006,279931654
139,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,7,1,9,475.81,279931654
140,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,8,0,0,521.003,255768146
141,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,8,0,1,523.398,255768146
142,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,8,0,2,580.825,255768146
143,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,8,0,3,523.055,255768146
144,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,8,0,4,522.2080000000002,255768146
145,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,8,0,5,523.316,255768146
146,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,8,0,6,517.42,255768146
147,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,8,0,7,522.803,255768146
148,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,8,0,8,522.9209999999998,255768146
149,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,8,0,9,513.388,255768146
150,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,8,1,0,470.628,279931654
151,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,8,1,1,471.233,279931654
152,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,8,1,2,469.585,279931654
153,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,8,1,3,470.968,279931654
154,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,8,1,4,472.129,279931654
155,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,8,1,5,470.097,279931654
156,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,8,1,6,472.358,279931654
157,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,8,1,7,471.769,279931654
158,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,8,1,8,479.983,279931654
159,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,8,1,9,479.452,279931654
160,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,9,0,0,529.6080000000002,253977891
161,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,9,0,1,527.577,253977891
